Scan_Date,Ticker,Open,Close,Day Return %,Swing Range %,Buy Score
2025-02-10,SMCI,38.0,42.650001525878906,12.236846120733965,14.526316994114927,12.236846120733965
2025-02-10,WDC,49.37116825329701,51.96014404296875,5.2439022232350165,5.899391924479512,5.2439022232350165
2025-02-10,DELL,105.0683646354365,109.92294311523438,4.620399771750679,5.086165963746049,4.620399771750679
2025-02-10,APA,20.760898520376053,21.714879989624023,4.595087579237832,5.18653922083331,4.595087579237832
2025-02-10,PLTR,112.02999877929688,116.6500015258789,4.123897881748265,7.176650007259604,4.123897881748265
2025-04-09,MCHP,34.459500251086745,43.59626770019531,26.51450944597034,29.529452976307496,26.51450944597034
2025-04-09,UAL,56.2400016784668,70.83000183105469,25.9423892552516,29.285207555406544,25.9423892552516
2025-04-09,HOOD,33.709999084472656,42.209999084472656,25.215070397065748,27.083955253860132,25.215070397065748
2025-04-09,CVNA,35.29600143432617,44.0880012512207,24.909336637617287,27.164553664983004,24.909336637617287
2025-04-09,COHR,51.02000045776367,63.040000915527344,23.559389160951287,28.929835366131307,23.559389160951287
2025-04-09,HUM,6.557093186429327,277.4788592793588,281.0918273925781,1.3020696865348858,7.109916123754161
2025-04-09,UNH,5.6000201299279,544.7781806092327,562.6346435546875,3.2777492897174625,6.23772655544628
2025-04-09,CNC,2.783729973467401,61.630001068115234,62.630001068115234,1.6225863746047504,4.965116534573827
2025-04-09,DG,0.3820514664195392,85.25867916689747,84.3079833984375,-1.115072128432741,7.460634156271293
2025-04-09,CVS,-0.1771237364794113,63.441675692912845,67.01289367675781,5.629135650721648,7.28477391546391
2025-04-16,CVNA,27.366412599703473,41.74800109863281,41.86000061035156,0.26827514796251606,5.935615060981426
2025-04-16,PLTR,26.413163097722514,96.27999877929688,92.70999908447266,-3.707934919076751,7.976734942405519
2025-04-16,HOOD,24.484614574987674,41.86000061035156,40.65999984741211,-2.8667002996715314,7.333969541474489
2025-04-16,NEM,21.667411355151284,55.76513504212959,55.23206329345703,-0.9559229943043002,2.796958371585542
2025-04-16,CRWD,21.100014037559692,386.1099853515625,379.8399963378906,-1.623886781369536,5.664187911968746
